name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
LLNS  9447,194.36215579254,-65.23198246104,R,12.763,0.2631,0.0161,16.34,True
V* SY Ari,34.39211207919999,21.71647717774,,12.77,0.4494,0.0223,20.15,True
V* BI CrA,284.80652226977,-40.13965185923,,12.77,0.2966,0.0175,16.95,True
NSVS  11726192,333.12041428178,8.059791371269998,,12.77,0.3636,0.0234,15.54,True
V* SV CVn,188.98328537755,37.206856564960006,kB8.5hF0.5,12.77,0.342,0.0154,22.21,True
V* YZ Aqr,333.6274371882,-10.929533492660001,,12.77,0.4168,0.0233,17.89,True
V* ES Pav,292.95403803299,-57.34372487160999,,12.77,0.2852,0.0167,17.08,True
V* BN Eri,68.47896436315,-0.4255179553899999,,12.77,0.5115,0.0205,24.95,True
V* TU Per,47.27004071884,53.19339875545,,12.77,0.8788,0.0154,57.06,True
ASAS J213824-1833.8,324.5990682084,-18.56384553262,,12.776,0.3091,0.0286,10.81,True
V* RW Hyi,22.801133415129996,-78.48558977338,,12.777,0.4268,0.0131,32.58,True
[DCD2013] CSS J154609.0+480248,236.53784581151,48.046606526839994,,12.78,0.177,0.0105,16.86,True
BM   IV  40,118.16624692058,-32.72248970501,C,12.78,0.3857,0.0343,11.24,True
V* SZ Boo,220.55569754055,28.20655538983,kA6hF6,12.78,0.3618,0.0246,14.71,True
V* CV Scl,347.3771577206799,-35.78802987126,,12.78,0.39,0.0168,23.21,True
C*  266,73.83087488541,40.84228720999,R,12.78,0.2294,0.0192,11.95,True
V* BK Eri,42.48271873781,-1.4200285723500004,kA7hF5,12.78,0.4347,0.018,24.15,True
NIKC 4-70,336.20081689494,52.10586136458001,C,12.78,0.1276,0.0172,7.42,True
V* V354 Aqr,343.1979725067399,-24.703774357750003,,12.78,0.2339,0.0195,11.99,True
HE 0518-2322,80.14823089935,-23.32062900248,C,12.788,0.3423,0.0117,29.26,True
V* V1366 Cen,224.43715086607,-30.44411632114,,12.79,0.3745,0.0225,16.64,True
CRTS J040624.4-010534,61.60193474482001,-1.09307311884,,12.79,0.3841,0.0192,20.01,True
ASAS J065847-4926.0,104.69738917425002,-49.43237515992,,12.79,0.4942,0.009,54.91,True
SOPS   IV e-79,145.47195684925,-43.52367963994999,R,12.79,0.4496,0.0099,45.41,True
SV* HV 10651,314.82366365967,8.2479535743,,12.79,0.3721,0.0178,20.9,True
V* TX For,43.6261485052,-28.400425043780004,A3wl,12.79,0.4261,0.0238,17.9,True
V* V1184 Cen,202.27929087706997,-35.87792347586,,12.79,0.3941,0.0229,17.21,True
V* FX Hya,201.99559255083997,-27.09784246057,,12.79,0.4029,0.0253,15.92,True
V* V894 Cyg,293.25377890657,46.23968979695,B9III,12.794,0.2462,0.016,15.39,True
BM   IV  77,125.79968007969998,-37.61664594114,C,12.8,0.3316,0.0239,13.87,True
WORC 276,94.53828265581,-67.80737513449,C,12.8,0.009,0.0167,0.54,False
Kiso C7-181,303.06327161029,25.28899084051,C,12.8,0.3839,0.0213,18.02,True
HE 1259-2601,195.46834410398,-26.287956036489998,C,12.8,0.1657,0.0178,9.31,True
Kiso C5-213,68.94708991254,52.83318249894,C,12.8,0.3721,0.0635,5.86,True
V* V704 Car,153.16643063563,-60.22509176412,Ce,12.8,0.3461,0.024,14.42,True
WORC  91,77.2196824248,-64.6748363397,C,12.8,0.0002,0.0183,0.01,False
Kiso C6-129,110.26821397940002,9.81062877521,C-N,12.8,0.1248,0.0171,7.3,True
BM   IV  58,121.77108655761002,-37.17529650296,C,12.8,0.3495,0.0258,13.55,True
Kiso C6-31,95.69699061717002,7.359134898979999,C,12.8,0.2328,0.0265,8.78,True
CRTS J045814.5-224430,74.56055807139,-22.74152975252,,12.8,0.5868,0.0168,34.93,True
NIKC 3-12,55.69988801794,50.139974180269995,C,12.8,0.3281,0.027,12.15,True
CRTS J203347.6-463621,308.44869495282995,-46.60572141903,C,12.8,0.0394,0.0412,0.96,False
V* CE Vul,293.24095901171995,23.60434034566,,12.8,0.7506,0.0169,44.41,True
Kiso C1-177,25.49280044655,64.16212743221,C,12.8,0.2829,0.0226,12.52,True
[W71b] 063-01,161.22760614227,-57.69049436698,C,12.8,0.3129,0.0196,15.96,True
Case  319,65.35732281573,53.38022412145,C,12.8,0.3511,0.0514,6.83,True
V* Z For,42.54124112474,-26.264501278419996,A2wl,12.8,0.3332,0.0203,16.41,True
V* SX PsA,324.93055843077,-30.894117780349994,A,12.8,0.1455,0.0223,6.52,True
WORC  61,75.60120104873,-65.11366993929,C,12.8,0.0017,0.0218,0.08,False
C* 3224,21.55727947691,12.81069896386,C,12.8,0.1353,0.0255,5.31,True
BC     79,6.07931671355,56.882213837330006,C,12.8,0.0757,0.0143,5.29,True
HE 0916-0037,139.69857952535,-0.84299075263,C,12.8,0.8601,0.0145,59.32,True
IRAS F03369+3835,55.07549057557,38.760670509860006,C-N,12.8,0.2401,0.0268,8.96,True
ASAS J113701-0600.4,174.25494672076,-6.006724268210001,,12.8,0.2805,0.0218,12.87,True
DJM  32,100.84474049323,-1.39462029169,C,12.8,0.233,0.0354,6.58,True
HE 0549-4354,87.64301323626,-43.89009361762,C,12.8,0.4724,0.009,52.49,True
V* V706 Cas,1.8948005345899996,64.72267759812,C,12.8,0.3308,0.0274,12.07,True
HE 1153-2925,179.04875408224,-29.709973882670006,C,12.8,0.5218,0.0137,38.09,True
SP77 48B-3,81.54680755874,-73.02194879133,C,12.8,0.0077,0.0178,0.43,False
WORC  39,74.7384782518,-65.3962155887,C,12.8,0.0962,0.0573,1.68,False
HE 1145-1118,176.90497124981,-11.5912480222,C,12.8,1.153,0.0222,51.94,True
C* 3229,33.37466493411,46.33906338642,C,12.8,0.0785,0.0367,2.14,False
WRAY 18-263,199.67420814022,-64.91701432531,C,12.8,0.2112,0.0217,9.73,True
HE 0518-1751,80.11857124787,-17.81185366642,C,12.8,1.1761,0.0135,87.12,True
V* RV Hor,42.58545732495,-64.26130546942,,12.8,0.2639,0.0145,18.2,True
BC     55,76.1331342548,17.50457220528,C,12.8,0.4608,0.0146,31.56,True
HE 1253-1859,194.15979740445997,-19.25900192745,C,12.808,0.3128,0.0179,17.47,True
CRTS J064739.5-665952,101.91476101706002,-66.99762421671,,12.81,0.328,0.0163,20.12,True
V* V360 Aqr,350.12799424573,-14.79919913202,,12.81,0.3922,0.0197,19.91,True
V* OU UMa,127.12988888155002,67.49641135205,,12.81,0.3543,0.0137,25.86,True
V* SS Tau,54.174443000939995,5.361457910270001,F5,12.81,0.6794,0.0262,25.93,True
CRTS J180258.2+455831,270.74280853452,45.9752175562,,12.81,0.2081,0.0098,21.23,True
V* V895 Mon,117.58927744659998,-1.2420823822300002,,12.81,0.4771,0.0243,19.63,True
V* AS Cnc,126.42566177947,25.71902982658,,12.81,0.3699,0.018,20.55,True
ASAS J231159+1944.5,347.9984831290199,19.74163343793,,12.81,0.4473,0.0137,32.65,True
V* V430 Hya,136.20242407535,5.50230603355,,12.81,0.5184,0.0492,10.54,True
V* V1704 Aql,305.09996529081,-3.81644030059,,12.81,0.2898,0.0196,14.79,True
V* XX CVn,205.61182600890996,28.186889731050005,,12.81,0.0239,0.0388,0.62,False
ASAS J140948-0057.1,212.44814383343999,-0.9521701567200002,,12.81,0.411,0.025,16.44,True
ROTSE1 J191727.09+483008.4,289.3638538386,48.504832465259994,,12.81,0.3968,0.0127,31.24,True
OGLE GD-RRLYR-8410,258.82888049858417,-48.20970485035223,,12.819,0.6991,0.0159,43.97,True
V* GR Tel,283.09278351627,-53.16392543831001,,12.82,0.2376,0.0207,11.48,True
ASAS J154504+1736.7,236.26799173664998,17.61218248966,,12.82,0.154,0.0234,6.58,True
NSV 13954,329.00427461932,-61.48655506798,,12.82,0.3916,0.0177,22.12,True
V* V552 Her,262.54929804216,14.37625721342,,12.82,0.5168,0.0188,27.49,True
Case  611,104.11821124539,-10.66605839363,C,12.82,0.3006,0.0313,9.6,True
IRAS 01185+5121,20.40465474074,51.623749440240005,N,12.82,0.2311,0.0273,8.47,True
ATO J261.8127-14.2899,261.81273686433707,-14.289844946891389,,12.822,0.6366,0.0148,43.01,True
CRTS J125530.4-295614,193.87581396907873,-29.937948170884166,,12.824,0.3308,0.0162,20.42,True
V* GZ Lup,229.70272346319996,-30.74094963862001,,12.83,0.4045,0.0175,23.11,True
V* YY Crv,191.06792443395,-12.051849356829997,,12.83,0.3556,0.0204,17.43,True
V* SX Cap,307.1680193691,-12.475488251390003,,12.83,0.3034,0.0258,11.76,True
V* V444 Cen,187.431891497,-34.36718461862,F5,12.83,0.5155,0.0229,22.51,True
HE 2319-1534,350.54620980911,-15.304482060640003,C,12.83,0.0368,0.022,1.67,False
CRTS J070913.1-523310,107.30502360304001,-52.55222832209999,,12.83,0.431,0.0139,31.01,True
CRTS J215344.2-051245,328.43460270799994,-5.212697804690001,,12.83,0.4506,0.0216,20.86,True
ASAS J084710-3709.8,131.79152905186,-37.16273963255001,,12.834,0.8025,0.0108,74.31,True
CRTS J135416.1-220416,208.5670493373246,-22.0719647601975,,12.835,0.3572,0.0387,9.23,True
CRTS J005231.1-611030,13.12971348562,-61.17496589768001,,12.838,0.3607,0.0144,25.05,True
V* QZ Cen,212.31708938566,-59.79005610388,,12.84,0.6103,0.0171,35.69,True
V* V1304 Cen,209.73678835491998,-40.89714241156,,12.84,0.312,0.0227,13.74,True
Case  149,106.54368899179,-11.75568998242,C,12.84,0.1777,0.0318,5.59,True
V* AZ For,46.3651574747,-30.977430720680005,,12.84,0.3178,0.0137,23.2,True
ASAS J221336+2646.8,333.40238209097,26.779405126930005,,12.84,0.4954,0.0207,23.93,True
V* WW Leo,142.60890830165,7.205872450159999,kF0.5hF9,12.84,0.4134,0.0179,23.09,True
V* V606 Peg,355.49479693708,18.21706473281,,12.84,0.4298,0.0173,24.84,True
CRTS J055629.6-261006,89.12295179871751,-26.169407026566113,,12.84,1.9598,0.0341,57.47,True
CRTS J200843.5-295623,302.18157234578587,-29.94009155621528,,12.845,0.377,0.017,22.18,True
V* CY Peg,327.44683908777995,21.14393162895,A2,12.85,0.4264,0.017,25.08,True
Case  254,338.10643212157,59.54956278176999,N,12.85,0.367,0.0321,11.43,True
V* RT Gru,327.99349193320995,-45.98518742411,kA7hF6,12.85,0.402,0.0213,18.87,True
V* VZ Men,113.83697806742,-76.85934570514,,12.85,0.5544,0.0166,33.4,True
V* BU Leo,170.79223804736,15.698560565690004,,12.85,0.3653,0.0196,18.64,True
V* V2065 Cyg,318.37625400226,41.90677545509,N,12.85,0.141,0.0249,5.66,True
V* V2697 Oph,251.18413390458,3.1594370735300004,,12.85,0.365,0.0188,19.41,True
V* V862 Her,254.01476153448994,40.15048225107,,12.85,0.2902,0.0115,25.23,True
NSV  3766,117.63528887219003,-52.03851496116,,12.85,0.5245,0.0159,32.99,True
CRTS J192907.7-554517,292.282283581,-55.75489871523,,12.851,0.2662,0.0166,16.04,True
NIKC 3-79,74.31760945034,48.16573337039,C,12.86,0.3979,0.0171,23.27,True
ASAS J040446-2643.0,61.192102681559994,-26.717066464500004,,12.86,0.3571,0.014,25.51,True
CRTS J142032.5-143202,215.13512202513996,-14.53377701396,,12.86,0.4059,0.0187,21.71,True
V* V1142 Her,239.00270623980998,49.79882624534999,,12.86,0.333,0.0152,21.91,True
V* V826 Cas,8.761447959239998,61.31726132781,"C7,4e",12.86,0.3749,0.0279,13.44,True
Fuen C 186,93.6677718812,33.41469796022,C,12.86,0.1963,0.0233,8.42,True
NSVS  17137955,308.83063182388,-9.57272705245,,12.86,1.0724,0.0306,35.05,True
CRTS J150032.0-191252,225.13382790667,-19.21459155936,,12.86,0.286,0.019,15.05,True
Case  427,111.74039891866,-7.83440271482,C,12.86,0.2273,0.0382,5.95,True
ROTSE1 J164729.04+150825.3,251.87087492887997,15.13968343199,,12.86,0.3157,0.0149,21.19,True
NSV 14655,355.27757781946,-42.14706032158,,12.86,0.3081,0.0216,14.26,True
SKB 1,3.33172198276,-30.58202657009,"C2,3:",12.86,0.1821,0.0168,10.84,True
V* V486 Vir,204.70366184703,-0.16506032967,,12.86,0.2674,0.0248,10.78,True
CRTS J223303.8+114547,338.26593476961,11.763165340299999,,12.86,0.3995,0.022,18.16,True
CRTS J192445.1-274813,291.18750895130995,-27.80385041867,,12.86,0.4779,0.0219,21.82,True
CRTS J162809.6+414410,247.04047711519996,41.73619249999,,12.86,0.8127,0.0136,59.76,True
ATO J135.6720-00.2264,135.67194183419,-0.22633188361,,12.86,0.403,0.0213,18.92,True
V* BK Tuc,352.38882047582,-72.54438650715,,12.86,0.3423,0.0172,19.9,True
V* RT Col,79.21091901945,-27.47346767982,A2II,12.86,0.3447,0.0175,19.7,True
UNSW-V 201,257.93789097864,-60.4372174954,,12.863,0.6835,0.0133,51.39,True
V* SS Gru,322.02628525457,-37.15984265414999,,12.865,0.1409,0.0301,4.68,False
ATO J330.4356+30.9520,330.4357492167949,30.952072392765842,,12.867,0.3535,0.0159,22.23,True
ROTSE1 J181922.88+515107.8,274.84677078287996,51.85040041074,,12.87,0.3384,0.0133,25.44,True
V* AV Col,89.21082835036,-27.667097763399997,A2,12.87,0.4646,0.0141,32.95,True
V* GK Cen,206.58721215947,-49.597243651940005,,12.87,0.2333,0.0174,13.41,True
V* RX CVn,207.17760023066,41.38520561655,,12.87,0.371,0.0153,24.25,True
V* BF Peg,341.47115886015,24.14353577796,,12.87,0.3693,0.0237,15.58,True
V* V348 Vir,214.10692548185,-17.09124695027,,12.87,0.4125,0.0153,26.96,True
ATO J043.7820+31.9879,43.78201617863667,31.987975357136676,,12.876,0.3365,0.0167,20.15,True
WRAY 18-247,183.44514605861997,-65.96290636285,C,12.88,0.2836,0.0258,10.99,True
V* AA PsA,337.53133769961,-28.169990502999998,,12.88,0.3425,0.0228,15.02,True
CRTS J165625.3+005213,254.10549630703,0.8702923948400001,,12.88,0.4831,0.0204,23.68,True
CRTS J155549.4-160514,238.95619149092002,-16.08747360415,,12.88,0.7344,0.0149,49.29,True
V* BK And,353.77513613608,41.10290874183999,,12.88,0.4548,0.0197,23.09,True
V* CU Boo,230.59035196324996,52.478654208890006,,12.88,0.3383,0.0134,25.25,True
CRTS J183429.3-732636,278.62281582324,-73.44311608052,,12.88,0.374,0.0153,24.44,True
V* AO Peg,321.76450262528,18.599349551479996,kA5hA7,12.88,0.3703,0.027,13.71,True
CRTS J140040.6-001837,210.16959928412,-0.31033457623999994,,12.88,0.2896,0.0194,14.93,True
CRTS J051511.7-352335,78.79909372464,-35.393191644359995,,12.88,0.3702,0.0132,28.05,True
OGLE GD-RRLYR-858,128.68022305601,-33.54911336399,,12.886,0.4616,0.0126,36.63,True
ATO J171.2293+54.5830,171.22928307883123,54.582939794308324,,12.888,0.2784,0.0174,16.0,True
V* MZ Boo,223.16755568343,45.66131794457,A2,12.89,0.3934,0.0121,32.51,True
V* TZ Phe,17.49315175483,-42.12886905221,,12.89,0.3778,0.0156,24.22,True
V* V Sex,149.0323618921,4.851864137,,12.89,0.3808,0.023,16.56,True
V* EZ Ara,262.38242549303,-55.80519185995,,12.89,0.3484,0.0184,18.93,True
CRTS J054054.1-420427,85.22529279476,-42.07458283559,,12.89,0.4033,0.0187,21.57,True
BPS CS 29504-0032,24.84330796884,-33.07286607994,,12.89,0.4001,0.0158,25.32,True
CRTS J112042.6+344712,170.17769713645,34.78679049875,,12.89,0.3704,0.0243,15.24,True
V* AG Her,250.13688928243,40.61835999113,A3,12.89,0.3422,0.0152,22.51,True
CRTS J070453.0-435614,106.22149904672,-43.93743497735,,12.89,0.4085,0.0136,30.04,True
V* V535 Pup,123.01708724516999,-20.040333807860005,C-J,12.89,0.2356,0.0233,10.11,True
GSC 09092-01397,294.88956847376,-65.48084152682,,12.89,0.3348,0.0124,27.0,True
OGLE GD-RRLYR-2156,175.35205577704,-67.64817604574,,12.893,0.5229,0.015,34.86,True
Kiso C1-207,30.667880695190004,61.10320047105001,C,12.9,0.2726,0.0293,9.3,True
V* ET Cep,15.597006420740003,85.39697337684,,12.9,0.2409,0.0121,19.91,True
HE 1527-0412,232.42621592364998,-4.37296550414,C,12.9,0.5011,0.0165,30.37,True
WORC 104,77.91064130423,-64.16617849146,C,12.9,0.0464,0.0321,1.45,False
WORC 288,95.90789347462,-68.96742721542,C,12.9,0.0071,0.0187,0.38,False
WORC 283,95.4755054423,-68.02426792592,C,12.9,0.0268,0.0545,0.49,False
HE 0443-1847,71.54539526534,-18.694342069170002,C,12.9,0.47,0.0102,46.08,True
Kiso C6-134,112.56539626786,7.97060985951,C-R,12.9,0.1529,0.0134,11.41,True
WORC  31,74.14967774266,-73.21107954805,C,12.9,0.0173,0.0262,0.66,False
HE 1139-2836,175.53152667934,-28.883475331510002,C,12.9,0.9461,0.0143,66.16,True
HE 0935-0145,144.49584353379,-1.9765795611799997,C,12.9,0.9284,0.0155,59.9,True
WORC 144,80.78843081223,-64.89817795109,C,12.9,0.0124,0.0204,0.61,False
V* X CMi,110.43611059723,2.35720486468,kF1hF5.5,12.9,0.4538,0.015,30.25,True
V* V858 Sco,242.98997660848,-27.06924143567,,12.9,0.5185,0.0162,32.01,True
CRTS J043350.9+382310,68.46242360556,38.38614873082,,12.9,0.8374,0.0164,51.06,True
V* WY Dra,293.33769266202,80.92849081689,,12.9,0.3645,0.0144,25.31,True
V* EE Her,243.17753937930996,17.9874571444,A2,12.9,0.2933,0.0163,17.99,True
CRTS J065912.4-410425,104.80214678696001,-41.07342118643,,12.9,0.2943,0.0156,18.87,True
Kiso C6-20,94.74749600345001,12.56956959316,C-N,12.9,0.0488,0.0242,2.02,False
Kiso C5-204,67.49080679796,50.86145338614,C,12.9,0.1791,0.0369,4.85,False
ZTF J174107.32+484314.4,265.28055349736997,48.72043383611,,12.9,0.2663,0.0131,20.33,True
V* HV Cas,17.76445095729,53.727846338160006,"C4,3e",12.9,0.7151,0.0467,15.31,True
Case  197,299.1588031337,30.80163294487,C,12.9,0.2526,0.028,9.02,True
Kiso C1-103,11.44757865536,65.1621576779,C,12.9,0.3229,0.0308,10.48,True
BM   IV  27,115.29724553802001,-27.627655642200008,C,12.9,0.2187,0.0234,9.35,True
Kiso C1-183,25.83361687671,60.3672381928,N,12.9,0.2887,0.0261,11.06,True
Case   50,26.36441650448,62.91930906329001,"C5,4",12.9,0.2789,0.0298,9.36,True
C* 2755,294.08087508363,-10.838254630209999,C,12.9,0.2276,0.0315,7.23,True
BM   IV 112,146.48588954895,-50.01470591875,C,12.9,0.1931,0.0233,8.29,True
Kiso C7-45,293.44825975018995,27.640998803150005,C,12.9,0.1152,0.0269,4.28,False
Case  304,41.31228410596,62.14778700712999,C,12.9,0.1978,0.0239,8.28,True
C*  560,100.62312776212,6.202574320870001,C,12.9,0.2298,0.0318,7.23,True
[W71b] 025-04,123.40382655894,-43.06736579048,C,12.9,0.2568,0.0192,13.37,True
Kiso C5-208,68.27802075838,51.77726814192,C,12.9,0.2716,0.036,7.54,True
Kiso C6-85,101.63932751327,7.75159110409,C,12.9,0.2274,0.0305,7.46,True
BC    191,65.253906137,51.50235643843,C,12.9,0.3173,0.04,7.93,True
NIKC 3-47,66.41376935187,54.13893689919999,C,12.9,0.4327,0.0527,8.21,True
[TI98] 0915-0327,139.5343286924,-3.6657081869700012,C,12.9,0.133,0.0185,7.19,True
Kiso C1-199,28.0383998056,59.59851557911,N,12.9,0.211,0.0211,10.0,True
Kiso C6-11,94.06333673352,12.74148804907,C,12.9,0.149,0.0323,4.61,False
V* AW Dra,285.20000553116,50.09199092162,,12.901,0.365,0.0127,28.74,True
CRTS J212824.0-210757,322.09985030888,-21.132539787679995,,12.91,0.3172,0.0264,12.02,True
C* 1727,159.72880364663,-54.315716568430005,R,12.91,0.4632,0.0096,48.25,True
CRTS J104737.8-383432,161.90759989139,-38.57519737158,,12.91,0.3566,0.0189,18.87,True
NSVS   9006613,345.79279887125,34.41863707992,,12.91,0.3504,0.0186,18.84,True
ATO J211.2267+21.4517,211.22671984881,21.451790565199996,,12.91,0.3883,0.0173,22.45,True
C*  463,92.72997350282,8.15087710729,C,12.91,0.2032,0.0316,6.43,True
ATO J114.9124+57.2745,114.9124766235796,57.27459729484971,,12.91,0.385,0.0165,23.33,True
ASAS J192824-1852.4,292.09903138543,-18.87282771187,,12.91,0.4132,0.0204,20.25,True
CRTS J100119.0+073236,150.32919797269,7.543613449870001,,12.91,0.3963,0.0275,14.41,True
[KER2009] lra2a  1269,103.05870663557002,-3.767065285,A0V,12.92,0.5444,0.0237,22.97,True
ASAS J113509-3223.4,173.78714381783,-32.38894844259,,12.92,0.3499,0.0152,23.02,True
CRTS J223453.5+233942,338.72306239428997,23.661866418630005,,12.92,0.2523,0.0182,13.86,True
CRTS J163950.0+164903,249.95801275421996,16.818008721659996,,12.92,0.2416,0.0133,18.17,True
V* DF Ser,228.82949481347,18.65774006721,,12.92,0.4279,0.0187,22.88,True
V* BQ Vir,189.11384576789,-2.4257289060099994,F0,12.92,0.4993,0.0181,27.59,True
V* V Cae,75.40696391304,-39.1347721223,,12.92,0.366,0.0144,25.42,True
CRTS J032144.6-564541,50.43708055974,-56.76110115583,,12.92,0.373,0.014,26.64,True
BPS BS 16477-0084,222.29889089094,5.71779734438,,12.92,0.3097,0.0173,17.9,True
SOPS   IV e-72,232.39885424419,-40.501179140679994,N,12.92,0.4018,0.0169,23.78,True
CRTS J213316.5-002956,323.31903171780993,-0.4988677798000001,,12.92,0.2987,0.0219,13.64,True
V* AV Dra,269.93418625539,51.883791743340005,,12.92,0.3896,0.0144,27.06,True
CRTS J103314.7+011703,158.31167880802,1.28426539521,,12.92,0.3735,0.0211,17.7,True
V* V1211 Sgr,281.75546111166,-25.18210828095,kA6hF0,12.924,0.328,0.0219,14.98,True
CRTS J222014.0+232423,335.05866303551994,23.4064698353,,12.93,0.4697,0.0239,19.65,True
LAMOST J045318.48+542240.4,73.32784976668,54.37824891531,kA2hA5mA7,12.93,0.6424,0.0151,42.54,True
CRTS J221138.9-334248,332.91227454453,-33.7134840108,,12.93,0.3346,0.0197,16.98,True
V* V2176 Sgr,296.22190529362,-44.281889097240004,,12.93,0.257,0.0244,10.53,True
V* V550 And,29.03425415094,43.29155551833,,12.93,0.3143,0.0211,14.9,True
ASAS J161244+1302.9,243.18299189237996,13.048425577450002,,12.93,0.3214,0.0213,15.09,True
NSVS   8706201,321.0733925550699,32.0582190393,,12.93,0.3427,0.014,24.48,True
NSVS  12132599,51.82197538825,0.92115129543,,12.93,1.0333,0.0148,69.82,True
ASAS J141025-2244.8,212.60474594987582,-22.746617405156947,,12.932,0.3218,0.0206,15.62,True
WRAY 15-243,129.17041931778,-35.57400829599,C,12.933,0.1846,0.0232,7.96,True
ATO J051.7294+49.9876,51.72949141325376,49.987657138885005,,12.934,0.5956,0.0157,37.94,True
V* IN Psc,354.15592296435,-2.21241603687,,12.94,0.2176,0.0223,9.76,True
CRTS J064415.8-364758,101.06618462213001,-36.79947701988,,12.94,0.3532,0.0124,28.48,True
V* GN Ara,264.31125453235,-58.35111328898,,12.94,0.389,0.017,22.88,True
V* SX Hyi,31.914276862320005,-77.81310695776,,12.94,0.4043,0.0139,29.09,True
CRTS J080615.0-015735,121.56279375561999,-1.95991024989,,12.94,0.3059,0.0249,12.29,True
V* RZ Cam,98.49910432881,67.0252840316,,12.94,0.3585,0.0174,20.6,True
V* CM Boo,214.01303074452002,20.06046398371,,12.94,0.3237,0.0207,15.64,True
ASAS J200147-2153.8,300.44480117926,-21.896969862969996,,12.945,0.2744,0.0199,13.79,True
V* YY Cru,187.96600381823998,-60.64375462202,,12.95,0.3735,0.0688,5.43,True
V* EG Gru,326.5809164013,-42.84705232124,,12.95,0.213,0.0228,9.34,True
ROTSE1 J173120.04+242708.5,262.83423802217993,24.452864728830004,,12.95,0.3568,0.0167,21.37,True
NSVS   4173294,54.81346088922,38.05894800093001,,12.95,0.7623,0.0143,53.31,True
V* AN Crt,175.27823306101,-10.61854014577,,12.95,0.3455,0.0295,11.71,True
IRAS 06178-0634,95.08064175385,-6.5960952316200006,C,12.95,0.1852,0.0243,7.62,True
V* V5574 Sgr,296.43590537659,-31.21028186243,,12.95,0.3221,0.0167,19.29,True
V* RZ Lib,224.93737849923997,-15.27073441216,,12.95,0.3445,0.0198,17.4,True
ASAS J100332+2241.4,150.88451108368,22.68975953367,,12.95,0.3213,0.024,13.39,True
V* AQ Gru,350.57512910953,-42.090077176710004,,12.95,0.2655,0.0238,11.16,True
V* CZ Ind,321.13851615871,-57.20117316749,,12.95,0.2794,0.0167,16.73,True
ASAS J164128-1029.6,250.36491809816997,-10.49336454402,,12.952,0.7625,0.0156,48.88,True
2MASS J06250615+3338433,96.27563020766,33.64535525077001,C-R,12.955,0.3367,0.0144,23.38,True
C* 2597,277.61030497502,-9.79898781553,C,12.96,0.5495,0.0288,19.08,True
V* BN Aqr,336.95319770424,-7.483814025410001,kA9hF3,12.96,0.395,0.0257,15.37,True
ASAS J232342-4157.4,350.92728435211,-41.956716477549996,,12.96,8.7934,0.0152,578.51,True
EC 11260-2413,172.12413024746,-24.49407476124,,12.96,0.2877,0.0199,14.46,True
V* V1181 Cen,201.93917131021996,-37.78293535107,,12.96,0.3627,0.0177,20.49,True
V* V516 Hya,137.90648342811,4.0417836967,,12.96,0.2396,0.0215,11.14,True
V* WY Scl,15.115776349629996,-28.205713326959998,F3V,12.96,0.3289,0.0305,10.78,True
NSV 12659,300.09605490157,-25.38818575184,,12.96,0.3113,0.0228,13.65,True
V* IW Cnc,121.22320954598,19.752970517240005,,12.96,0.4091,0.0182,22.48,True
SOPS   IV e-15,245.71552031920996,-27.66851010954,R,12.96,0.1366,0.0238,5.74,True
V* V865 Oph,259.75063158576,9.507417962139998,,12.96,0.4037,0.0149,27.09,True
CRTS J130658.4-230735,196.74355318428664,-23.12645328170639,,12.962,0.3667,0.0206,17.8,True
OGLE SMC-RRLYR-2621,357.90955788633,-73.57287885254,,12.963,0.3215,0.0133,24.17,True
CRTS J144000.4-303846,220.0023085750971,-30.645868980255827,,12.965,0.3255,0.0183,17.79,True
ATO J281.6197-23.1419,281.619811157705,-23.141911770153335,,12.965,0.2564,0.0249,10.3,True
CRTS J212159.3-495229,320.4979242019899,-49.87471765673,,12.97,0.3993,0.0223,17.91,True
ASAS J102007-3217.0,155.03123777069,-32.283452875669994,,12.97,0.7771,0.0155,50.14,True
V* FX Cet,11.2754515017,-18.90426263791,,12.97,0.4022,0.0218,18.45,True
SOPS   II e-66,285.42423986408,-48.95056694341,R,12.97,0.1096,0.0143,7.66,True
SOPS   IV e-93,187.07359697452998,-47.46284327971999,R,12.97,0.265,0.0129,20.54,True
[WWV2004] J0837171-132113,129.32093450224,-13.353984978370002,C,12.97,0.1506,0.0172,8.76,True
GSC 02748-00996,340.43815612341,37.12111409456999,,12.97,0.2409,0.0172,14.01,True
ATO J349.5276+15.8829,349.52761331166994,15.882953045679997,,12.98,0.3601,0.0187,19.26,True
NIKC 1-79,18.56575730562,61.93490901340999,C,12.98,0.581,0.0371,15.66,True
[AHB74] C  27,295.74994488994,19.759714470080002,C9;1,12.98,0.1337,0.0336,3.98,False
CRTS J210302.0+081131,315.75849756739,8.19230991149,,12.98,0.2989,0.0212,14.1,True
CRTS J043741.0-390406,69.42086434862,-39.06836587862999,,12.98,0.3287,0.014,23.48,True
CRTS J122713.2-151741,186.80523074152998,-15.29486993654,,12.98,0.3523,0.0189,18.64,True
Case  658,325.16635034154996,46.32888465743,C,12.98,0.151,0.0199,7.59,True
Case  589,92.55954781232,4.11520587597,C,12.98,0.2763,0.0339,8.15,True
IRAS 07525-5347,118.45168465661,-53.91786623784,C-rich,12.98,0.1982,0.0404,4.91,False
