name,ra,dec,sp_type,v_mag,parallax,dist_ref,dist_ref_err,period,M_calc,dist_pl,abs_error,rel_error
CRTS J192445.1-274813,291.18750895130995,-27.80385041867,RRAB,12.86,0.4779,2092.49,95.89,0.46332,-0.015,3758.72,1666.23,79.63
CRTS J162809.6+414410,247.0404771152,41.73619249999,RRC,12.86,0.8127,1230.47,20.59,0.284319,0.381,3131.29,1900.82,154.48
ATO J135.6720-00.2264,135.67194183419,-0.22633188361,RRAB,12.86,0.403,2481.39,131.15,0.5432131,-0.144,3989.14,1507.75,60.76
V* BK Tuc,352.38882047582,-72.54438650715,RRAB,12.86,0.3423,2921.41,146.8,0.5500676,-0.155,4007.89,1086.48,37.19
UNSW-V 201,257.93789097864,-60.4372174954,RRC:,12.863,0.6835,1463.06,28.47,0.3734835,0.16,3472.4,2009.34,137.34
V* SS Gru,322.02628525457,-37.15984265414999,ACEP,12.865,0.1409,7097.23,1516.16,0.959798,-1.401,7131.21,33.98,0.48
ATO J330.4356+30.9520,330.4357492167949,30.95207239276584,RRC,12.867,0.3535,2828.85,127.24,0.333176,0.253,3333.34,504.49,17.83
ROTSE1 J181922.88+515107.8,274.84677078288,51.85040041074,RRAB/BL,12.87,0.3384,2955.08,116.14,0.633825,-0.27,4245.58,1290.5,43.67
V* RX CVn,207.17760023066,41.38520561655,RRAB,12.87,0.371,2695.42,111.16,0.5400264,-0.14,3998.74,1303.32,48.35
V* BF Peg,341.47115886015,24.14353577796,RRAB,12.87,0.3693,2707.83,173.78,0.4958174,-0.07,3873.03,1165.2,43.03
V* V348 Vir,214.10692548185,-17.09124695027,RRAB,12.87,0.4125,2424.24,89.92,0.56523109,-0.177,4067.55,1643.31,67.79
ATO J043.7820+31.9879,43.78201617863667,31.98797535713668,ACEPS,12.876,0.3365,2971.77,147.48,0.8043107,-1.189,6501.21,3529.44,118.77
V* AA PsA,337.53133769961,-28.169990503,RRAB,12.88,0.3425,2919.71,194.36,0.5127972,-0.098,3940.21,1020.5,34.95
CRTS J165625.3+005213,254.10549630703,0.8702923948400001,RRAB,12.88,0.4831,2069.96,87.41,0.377966,0.15,3515.34,1445.38,69.83
V* BK And,353.77513613608,41.10290874183999,RRAB,12.88,0.4548,2198.77,95.24,0.421602,0.061,3661.96,1463.19,66.55
V* CU Boo,230.59035196325,52.478654208890006,RRC,12.88,0.3383,2955.96,117.08,0.29624,0.348,3209.18,253.22,8.57
CRTS J183429.3-732636,278.62281582324,-73.44311608052,RRAB,12.88,0.374,2673.8,109.38,0.5832974,-0.202,4134.69,1460.89,54.64
CRTS J140040.6-001837,210.16959928412,-0.3103345762399999,RRC,12.88,0.2896,3453.04,231.32,0.292805,0.357,3195.22,-257.82,-7.47
CRTS J051511.7-352335,78.79909372464,-35.393191644359995,RRAB/BL,12.88,0.3702,2701.24,96.32,0.482289,-0.048,3850.85,1149.61,42.56
OGLE GD-RRLYR-858,128.68022305601,-33.54911336399,RRAB,12.886,0.4616,2166.38,59.13,0.5525454,-0.158,4062.99,1896.61,87.55
ATO J171.2293+54.5830,171.22928307883123,54.58293979430832,RRC,12.888,0.2784,3591.95,224.5,0.3182139,0.29,3308.39,-283.56,-7.89
V* TZ Phe,17.49315175483,-42.12886905221,RRAB,12.89,0.3778,2646.9,109.3,0.615605,-0.246,4238.37,1591.47,60.13
V* V Sex,149.0323618921,4.851864137,RRAB/BL,12.89,0.3808,2626.05,158.61,0.487372,-0.056,3883.83,1257.78,47.9
V* EZ Ara,262.38242549303,-55.80519185995,RRC/BL,12.89,0.3484,2870.26,151.59,0.3273052,0.267,3346.51,476.25,16.59
CRTS J054054.1-420427,85.22529279476,-42.07458283559,RRC,12.89,0.4033,2479.54,114.97,0.329777,0.261,3355.94,876.4,35.35
BPS CS 29504-0032,24.84330796884,-33.07286607994,RRAB,12.89,0.4001,2499.38,98.7,0.6219864,-0.254,4254.75,1755.37,70.23
CRTS J112042.6+344712,170.17769713645,34.78679049875,RRC,12.89,0.3704,2699.78,177.12,0.3397,0.237,3393.36,693.58,25.69
CRTS J070453.0-435614,106.22149904672,-43.93743497735,RRC,12.89,0.4085,2447.98,81.5,0.311039,0.308,3283.32,835.34,34.12
V* V535 Pup,123.01708724517,-20.040333807860005,C-J,12.89,0.2356,4244.48,419.76,320.0,-4.01,23991.64,19747.16,465.24
GSC 09092-01397,294.88956847376,-65.48084152682,RRD,12.89,0.3348,2986.86,110.62,0.3657414,0.177,3488.41,501.55,16.79
OGLE GD-RRLYR-2156,175.35205577704,-67.64817604574,RRAB,12.893,0.5229,1912.41,54.86,0.5237042,-0.115,3995.2,2082.79,108.91
V* ET Cep,15.597006420740003,85.39697337684,RRAB,12.9,0.2409,4151.1,208.5,0.497173,-0.072,3930.92,-220.18,-5.3
V* V858 Sco,242.98997660848,-27.06924143567,RRAB/BL,12.9,0.5185,1928.64,60.26,0.4785182,-0.041,3875.09,1946.45,100.92
V* WY Dra,293.33769266202,80.92849081689,RRAB,12.9,0.3645,2743.48,108.38,0.588941,-0.21,4188.0,1444.52,52.65
CRTS J065912.4-410425,104.80214678696,-41.07342118643,RRAB,12.9,0.2943,3397.89,180.11,0.56996,-0.183,4137.0,739.11,21.75
Kiso C6-20,94.74749600345,12.56956959316,C-N,12.9,0.0488,20491.8,10161.92,215.797088,-3.668,20588.19,96.39,0.47
ZTF J174107.32+484314.4,265.28055349737,48.72043383611,RRD,12.9,0.2663,3755.16,184.73,0.5539,-0.16,4093.01,337.85,9.0
V* AW Dra,285.20000553116,50.09199092162,RRAB,12.901,0.365,2739.73,95.33,0.687216,-0.335,4438.87,1699.14,62.02
CRTS J212824.0-210757,322.09985030888,-21.132539787679995,RRAB/BL,12.91,0.3172,3152.59,262.38,0.60348,-0.23,4245.88,1093.29,34.68
CRTS J104737.8-383432,161.90759989139,-38.57519737158,RRAB,12.91,0.3566,2804.26,148.63,0.537457,-0.136,4065.82,1261.56,44.99
NSVS   9006613,345.79279887125,34.41863707992,RRC,12.91,0.3504,2853.88,151.49,0.318785,0.288,3344.32,490.44,17.19
ATO J211.2267+21.4517,211.22671984881,21.4517905652,RRC,12.91,0.3883,2575.33,114.74,0.300254,0.337,3270.25,694.92,26.98
ATO J114.9124+57.2745,114.9124766235796,57.27459729484971,RRD,12.91,0.385,2597.4,111.32,0.320547,0.284,3351.22,753.82,29.02
ASAS J192824-1852.4,292.09903138543,-18.87282771187,RRC/BL,12.91,0.4132,2420.14,119.48,0.3563567,0.198,3486.62,1066.48,44.07
CRTS J100119.0+073236,150.32919797269,7.543613449870001,RRC,12.91,0.3963,2523.34,175.1,0.348691,0.216,3458.38,935.04,37.06
ASAS J113509-3223.4,173.78714381783,-32.38894844259,RRAB,12.92,0.3499,2857.96,124.15,0.64333,-0.282,4368.72,1510.76,52.86
CRTS J223453.5+233942,338.72306239429,23.661866418630005,RRC,12.92,0.2523,3963.54,285.91,0.3955524,0.113,3642.12,-321.42,-8.11
CRTS J163950.0+164903,249.95801275422,16.818008721659996,RRC,12.92,0.2416,4139.07,227.85,0.350407,0.212,3480.73,-658.34,-15.91
V* DF Ser,228.82949481347,18.65774006721,RRAB,12.92,0.4279,2336.99,102.13,0.4377969,0.031,3783.0,1446.01,61.87
V* V Cae,75.40696391304,-39.1347721223,RRAB,12.92,0.366,2732.24,107.5,0.5709138,-0.185,4177.89,1445.65,52.91
CRTS J032144.6-564541,50.43708055974,-56.76110115583,RRAB,12.92,0.373,2680.97,100.63,0.5455784,-0.148,4107.57,1426.6,53.21
CRTS J213316.5-002956,323.31903171780993,-0.4988677798000001,RRC|EC,12.92,0.2987,3347.84,245.46,0.31664,0.294,3351.29,3.45,0.1
V* AV Dra,269.93418625539,51.883791743340005,RRAB/BL,12.92,0.3896,2566.74,94.87,0.5556,-0.163,4135.62,1568.88,61.12
CRTS J103314.7+011703,158.31167880802,1.28426539521,RRC,12.92,0.3735,2677.38,151.25,0.338885,0.239,3437.48,760.1,28.39
CRTS J222014.0+232423,335.05866303551994,23.4064698353,RRC,12.93,0.4697,2129.02,108.33,0.296212,0.348,3283.82,1154.8,54.24
LAMOST J045318.48+542240.4,73.32784976668,54.37824891531,kA2hA5mA7,12.93,0.6424,1556.66,36.59,0.622298,1.412,2011.87,455.21,29.24
CRTS J221138.9-334248,332.91227454453,-33.7134840108,RRC,12.93,0.3346,2988.64,175.96,0.291317,0.362,3263.42,274.78,9.19
V* V2176 Sgr,296.22190529362,-44.28188909724,RRAB,12.93,0.257,3891.05,369.42,0.6176087,-0.249,4322.42,431.37,11.09
V* V550 And,29.03425415094,43.29155551833,RRAB,12.93,0.3143,3181.67,213.6,0.778966,-0.437,4714.42,1532.75,48.17
ASAS J161244+1302.9,243.18299189238,13.048425577450002,RRC,12.93,0.3214,3111.39,206.2,0.339282,0.238,3454.85,343.46,11.04
NSVS   8706201,321.0733925550699,32.0582190393,RRAB,12.93,0.3427,2918.0,119.21,0.70912,-0.361,4551.65,1633.65,55.99
ASAS J141025-2244.8,212.60474594987585,-22.746617405156947,RRAB/BL,12.932,0.3218,3107.52,198.93,0.6398808,-0.277,4384.11,1276.59,41.08
ATO J051.7294+49.9876,51.72949141325376,49.987657138885005,RRC,12.934,0.5956,1678.98,44.26,0.27951,0.395,3219.23,1540.25,91.74
V* IN Psc,354.15592296435,-2.21241603687,RRAB,12.94,0.2176,4595.59,470.96,0.6450427,-0.284,4413.53,-182.06,-3.96
CRTS J064415.8-364758,101.06618462213,-36.79947701988,RRC,12.94,0.3532,2831.26,99.4,0.370247,0.167,3586.05,754.79,26.66
V* GN Ara,264.31125453235,-58.35111328898,RRAB,12.94,0.389,2570.69,112.34,0.5920748,-0.214,4274.34,1703.65,66.27
V* SX Hyi,31.914276862320005,-77.81310695776,RRC,12.94,0.4043,2473.41,85.04,0.310669,0.309,3358.3,884.89,35.78
CRTS J080615.0-015735,121.56279375562,-1.95991024989,RRAB,12.94,0.3059,3269.04,266.1,0.64357,-0.282,4409.76,1140.72,34.89
V* RZ Cam,98.49910432881,67.0252840316,RRAB,12.94,0.3585,2789.4,135.39,0.48044941,-0.045,3953.09,1163.69,41.72
V* CM Boo,214.01303074452,20.06046398371,RRAB,12.94,0.3237,3089.28,197.55,0.609073,-0.237,4319.83,1230.55,39.83
V* EG Gru,326.5809164013,-42.84705232124,RRAB,12.95,0.213,4694.84,502.55,0.61542,-0.246,4356.63,-338.21,-7.2
ROTSE1 J173120.04+242708.5,262.83423802217993,24.452864728830004,RRC,12.95,0.3568,2802.69,131.18,0.291839,0.36,3295.82,493.13,17.59
NSVS   4173294,54.81346088922,38.05894800093001,RRC,12.95,0.7623,1311.82,24.61,0.312721,0.304,3382.12,2070.3,157.82
V* AN Crt,175.27823306101,-10.61854014577,RRAB,12.95,0.3455,2894.36,247.13,0.622335,-0.255,4374.87,1480.51,51.15
V* V5574 Sgr,296.43590537659,-31.21028186243,RRAB,12.95,0.3221,3104.63,160.97,0.5548362,-0.162,4191.0,1086.37,34.99
V* RZ Lib,224.93737849924,-15.27073441216,RRAB,12.95,0.3445,2902.76,166.83,0.5963275,-0.22,4305.58,1402.82,48.33
ASAS J100332+2241.4,150.88451108368,22.68975953367,RRC,12.95,0.3213,3112.36,232.48,0.348741,0.216,3522.87,410.51,13.19
V* AQ Gru,350.57512910953,-42.09007717671,RRAB,12.95,0.2655,3766.48,337.64,0.6369076,-0.274,4412.91,646.43,17.16
V* CZ Ind,321.13851615871,-57.20117316749,RRAB/BL,12.95,0.2794,3579.1,213.93,0.6051401,-0.232,4329.26,750.16,20.96
ASAS J164128-1029.6,250.36491809817,-10.49336454402,RRC,12.952,0.7625,1311.48,26.83,0.236743,0.53,3050.56,1739.08,132.6
ASAS J232342-4157.4,350.92728435211,-41.95671647755,RRC,12.96,8.7934,113.72,0.2,0.4424689,0.022,3868.66,3754.94,3301.91
EC 11260-2413,172.12413024746,-24.49407476124,RRAB/BL,12.96,0.2877,3475.84,240.42,0.678271,-0.325,4538.84,1063.0,30.58
V* V1181 Cen,201.93917131022,-37.78293535107,RRAB,12.96,0.3627,2757.1,134.55,0.5480381,-0.152,4190.98,1433.88,52.01
V* V516 Hya,137.90648342811,4.0417836967,RRC,12.96,0.2396,4173.62,374.51,0.3466172,0.22,3531.05,-642.57,-15.4
NSV 12659,300.09605490157,-25.38818575184,RRAB,12.96,0.3113,3212.34,235.28,0.666425,-0.31,4509.03,1296.69,40.37
V* IW Cnc,121.22320954598,19.752970517240005,RRAB,12.96,0.4091,2444.39,108.75,0.60338,-0.23,4344.51,1900.12,77.73
V* V865 Oph,259.75063158576,9.507417962139998,RRAB,12.96,0.4037,2477.09,91.43,0.6383113,-0.275,4436.93,1959.84,79.12
CRTS J130658.4-230735,196.74355318428664,-23.12645328170639,RRAB,12.962,0.3667,2727.02,153.2,0.652514,-0.293,4477.72,1750.7,64.2
OGLE SMC-RRLYR-2621,357.90955788633,-73.57287885254,RRC,12.963,0.3215,3110.42,128.67,0.32635,0.269,3457.15,346.73,11.15
CRTS J144000.4-303846,220.0023085750971,-30.645868980255827,RRC,12.965,0.3255,3072.2,172.72,0.3998473,0.104,3733.43,661.23,21.52
ATO J281.6197-23.1419,281.619811157705,-23.14191177015333,RRC,12.965,0.2564,3900.16,378.76,0.349145,0.215,3548.82,-351.34,-9.01
CRTS J212159.3-495229,320.4979242019899,-49.87471765673,RRC,12.97,0.3993,2504.38,139.86,0.322162,0.28,3451.59,947.21,37.82
V* FX Cet,11.2754515017,-18.90426263791,RRAB,12.97,0.4022,2486.33,134.76,0.497032,-0.072,4059.27,1572.94,63.26
GSC 02748-00996,340.43815612341,37.12111409456999,RRAB,12.97,0.2409,4151.1,296.38,0.74751,-0.404,4728.6,577.5,13.91
ATO J349.5276+15.8829,349.52761331166994,15.882953045679995,RRAB/BL,12.98,0.3601,2777.01,144.21,0.60199,-0.228,4380.93,1603.92,57.76
CRTS J210302.0+081131,315.75849756739,8.19230991149,RRC,12.98,0.2989,3345.6,237.29,0.35706,0.196,3603.51,257.91,7.71
CRTS J043741.0-390406,69.42086434862,-39.06836587862999,RRC,12.98,0.3287,3042.29,129.58,0.360158,0.189,3615.17,572.88,18.83
CRTS J122713.2-151741,186.80523074153,-15.29486993654,RRC,12.98,0.3523,2838.49,152.28,0.283194,0.385,3304.3,465.81,16.41
IRAS 07525-5347,118.45168465661,-53.91786623784,C-rich,12.98,0.1982,5045.41,1028.43,458.0,-4.322,28863.31,23817.9,472.07
V* AG Tuc,13.722235812450004,-66.7079865092,RRAB,12.983,0.2886,3465.0,171.69,0.6025825,-0.229,4388.6,923.6,26.66
V* TT Oct,357.63528629737,-78.68243079827,RRAB,12.986,0.3872,2582.64,106.05,0.5677286,-0.18,4297.82,1715.18,66.41
CRTS J022011.0-232520,35.04563740314,-23.422632065719995,RRC,12.99,0.3456,2893.52,127.26,0.329154,0.262,3511.62,618.1,21.36
NSVS   8909218,339.18650765116,37.41194621258,RRAB,12.99,0.4454,2245.17,85.69,0.46117,-0.011,3983.68,1738.51,77.43
GSC 07509-00299,346.20452950372,-33.75400273529,RRD,12.99,0.2786,3589.38,194.54,0.3710152,0.165,3672.42,83.04,2.31
CRTS J100903.4+513746,152.26438480481,51.62936835299,RRC,12.99,0.414,2415.46,113.77,0.260104,0.454,3215.62,800.16,33.13
CRTS J053951.1-492541,84.96200904992,-49.42814244864,RRAB,12.99,0.3712,2693.97,96.52,0.6102513,-0.239,4423.64,1729.67,64.21
ASAS J180121+2250.6,270.33848760855,22.84396096879,RRAB,12.99,0.4464,2240.14,66.74,0.5833997,-0.202,4349.82,2109.68,94.18
NSVS  17011065,293.68689666420994,-15.8163671265,RRAB,12.99,0.3721,2687.45,140.11,0.5951372,-0.219,4382.35,1694.9,63.07
ASAS J225518-2317.6,343.82266330724,-23.293865007870004,RRC/BL,12.99,0.2518,3971.41,299.67,0.393622,0.117,3754.57,-216.84,-5.46
ATO J337.4561-30.1725,337.456044429725,-30.17247630009861,RRAB,12.999,0.3513,2846.57,179.08,0.5515666,-0.157,4277.18,1430.61,50.26
V* PY UMa,141.12740136327,42.30477421287,RRAB,13.0,0.3566,2804.26,196.6,0.56211,-0.172,4309.56,1505.3,53.68
OGLE LMC545.14.000002,64.98691518189,-70.77823993269,MISC,13.0,0.3196,3128.91,157.62,175.0,-3.486,19825.09,16696.18,533.61
V* LW Her,265.45351323961,25.1571082326,RRC,13.0,0.2828,3536.07,160.05,0.322198,0.28,3499.76,-36.31,-1.03
CRTS J070200.5-371654,105.50210947295,-37.28175758124,RRC,13.0,0.5418,1845.7,34.75,0.301519,0.334,3414.0,1568.3,84.97
V* V790 Cyg,291.47710598626,28.5043303952,RRAB,13.0,0.2423,4127.12,304.89,0.45604595,-0.002,3985.38,-141.74,-3.43
V* V833 Cyg,316.0971104707,39.00012800543001,RRAB,13.0,0.3356,2979.74,102.11,0.5381728,-0.137,4239.99,1260.25,42.29
V* XY Eri,62.820060883580005,-13.84835792232,RRAB/BL,13.0,0.3044,3285.15,209.37,0.55425154,-0.161,4286.93,1001.78,30.49
NSVS   5316661,263.09889149255,51.67979545458001,RRAB,13.0,0.3376,2962.09,110.55,0.4376,0.031,3924.31,962.22,32.48
FBS 1331+421,203.33073234659,41.91422027688999,C-N,13.0,0.0333,30030.03,15871.73,142.0,-3.305,18235.4,-11794.63,-39.28
ZTF J180930.31+324513.8,272.37635230648,32.753819635560006,RRC/BL:,13.0,0.3396,2944.64,113.59,0.3227214,0.278,3501.88,557.24,18.92
NSV 10283,272.73024077869,-54.82981449248,RRAB,13.0,0.4093,2443.2,97.89,0.7308412,-0.385,4754.12,2310.92,94.59
ATO J030.2401+13.5477,30.24009069061165,13.547753136586945,RRAB,13.0,0.3391,2948.98,205.24,0.6161714,-0.247,4460.14,1511.16,51.24
HE 1418-0306,215.23800266498,-3.33147268304,C-H,13.0,0.1216,8223.68,1068.54,178.0,-3.501,19960.34,11736.66,142.72
V* V338 Boo,236.60892591895004,44.31310347834,RRD,13.0,0.3258,3069.37,140.37,0.494047,-0.067,4106.48,1037.11,33.79
V* V468 Tel,281.23243803704,-47.22351683494,RRAB,13.0,0.2531,3951.01,315.33,0.6885433,-0.337,4649.29,698.28,17.67
CRTS J122801.2-303044,187.00459524851,-30.51226225106,RRAB,13.0,0.2252,4440.5,349.01,0.63147,-0.267,4501.24,60.74,1.37
ATO J331.1593+34.5087,331.1593486062317,34.50884898075445,RRC,13.008,0.4014,2491.28,100.54,0.2892974,0.367,3373.98,882.7,35.43
ATO J304.4662-06.1389,304.4662250285138,-6.138832799966112,RRAB,13.009,0.3084,3242.54,212.38,0.7722897,-0.43,4873.37,1630.83,50.29
V* V548 And,28.73270097677999,42.21582021068,RRAB,13.01,0.4924,2030.87,96.51,0.506851,-0.088,4165.1,2134.23,105.09
NSVS  10530834,219.91178204596,21.50851458687,RRAB/BL,13.01,0.3017,3314.55,204.34,0.7686555,-0.426,4867.03,1552.48,46.84
V* XZ CMa,105.10347011124,-20.43170357239,DCEP,13.01,0.1644,6082.73,573.49,2.55781,-2.576,13096.14,7013.41,115.3
CRTS J205717.4-224849,314.32321917506,-22.81331240949,RRC,13.01,0.3788,2639.92,209.07,0.342083,0.231,3595.55,955.63,36.2
Cl* NGC 6121    SAW V3,245.831058033,-26.66586348744,RRAB,13.01,0.5696,1755.62,83.53,0.5066323,-0.088,4164.43,2408.81,137.21
ASAS J233200+1553.6,352.9984838535,15.892939130369998,RRC,13.01,0.322,3105.59,163.0,0.329461,0.262,3545.35,439.76,14.16
CRTS J135221.0-253238,208.08743703278083,-25.54416692999445,RRC,13.015,0.3485,2869.44,194.32,0.434389,0.037,3940.64,1071.2,37.33
ATO J185.3008+63.4465,185.30110704738664,63.44658865101777,RRAB,13.019,2.3994,416.77,2.17,0.49527,-0.069,4146.4,3729.63,894.89
ASAS J115335-0756.1,178.39508168841,-7.935240829589999,RRAB,13.02,0.3696,2705.63,130.3,0.748186,-0.404,4840.38,2134.75,78.9
ROTSE1 J154325.44+390744.7,235.8559574993,39.1281391253,RRC,13.02,0.2811,3557.45,192.36,0.32668999,0.269,3550.48,-6.97,-0.2
V* BK UMa,162.5789155892,42.56902483057,RRAB,13.02,0.3547,2819.28,131.94,0.635665,-0.272,4554.15,1734.87,61.54
V* MT Lib,223.56872566101,-15.622093114609996,RRAB,13.02,0.3518,2842.52,136.55,0.5326317,-0.128,4262.69,1420.17,49.96
ASAS J054843-1627.0,87.17699411944,-16.45088734938,RRC,13.02,0.2396,4173.62,259.54,0.273426,0.413,3321.84,-851.78,-20.41
V* GK Cet,0.94803204268,-11.476417403309998,ACEP,13.02,0.3478,2875.22,177.74,0.740868,-1.09,6638.91,3763.69,130.9
CRTS J210409.8-073611,316.04103176011,-7.603260319419999,RRC,13.02,0.3497,2859.59,200.34,0.28783,0.371,3386.23,526.64,18.42
CRTS J083947.7-272933,129.94840024735,-27.492982639649995,RRC,13.02,0.3332,3001.2,220.68,0.342143,0.231,3612.38,611.18,20.36
V* KS Cen,176.7942737765,-41.52863081182999,RRAB/BL,13.02,0.38,2631.58,93.49,0.397447,0.109,3820.59,1189.01,45.18
V* V522 Cen,217.36512633829,-37.22879726504999,RRAB/BL,13.02,0.3361,2975.3,230.16,0.623662,-0.257,4521.8,1546.5,51.98
V* DE Ind,325.23748144028,-57.57871793702,RRAB,13.027,0.4225,2366.86,103.64,0.480757,-0.045,4115.67,1748.81,73.89
ATO J179.7461-13.5893,179.746225218025,-13.589263612615278,RRC,13.028,0.3582,2791.74,201.08,0.292897,0.357,3420.99,629.25,22.54
V* V426 Gem,109.85615919127,22.96653642807,RRAB,13.03,0.4651,2150.08,80.44,0.52311,-0.114,4253.57,2103.49,97.83
Cl* NGC 6121    SAW V33,246.13886526713,-26.34944535092,RRAB,13.03,0.5519,1811.92,57.13,0.614834,-0.245,4518.51,2706.59,149.38
ATO J136.5581-01.7072,136.55811203717957,-1.707116283398611,RRAB,13.03,0.334,2994.01,220.52,0.5941859,-0.217,4461.15,1467.14,49.0
CRTS J200520.3-353100,301.33501002021,-35.5163349364,RRAB,13.03,0.3422,2922.27,206.66,0.6398648,-0.277,4586.45,1664.18,56.95
CRTS J232026.1-432106,350.1087722334,-43.35176209231,RRC,13.03,0.2838,3523.61,254.52,0.40594,0.092,3868.7,345.09,9.79
ASAS J215141-0308.5,327.92217876671,-3.14124642358,RRAB,13.03,0.3659,2732.99,277.85,0.4866587,-0.055,4140.21,1407.22,51.49
CRTS J072511.0-460756,111.29558845296,-46.13260218443,RRAB,13.03,0.3522,2839.3,124.95,0.75233,-0.409,4872.78,2033.48,71.62
CRTS J170904.8-673110,257.2703295182379,-67.51940793061944,RRAB,13.033,0.6239,1602.82,83.49,0.752631,-0.409,4880.25,3277.43,204.48
CRTS J143135.6-283349,217.89864917292,-28.5634337041,RRAB,13.038,0.3009,3323.36,197.7,0.53308,-0.129,4299.52,976.16,29.37
CRTS J025546.3-555611,43.94299170307,-55.93623053005,RRAB,13.04,0.3558,2810.57,131.13,0.5181122,-0.106,4257.89,1447.32,51.5
V* CP Cap,321.49706440966,-15.05134914757,RRC,13.04,0.2364,4230.12,441.98,0.344237,0.226,3654.14,-575.98,-13.62
CRTS J120809.2-223643,182.03928563682,-22.61163826797,RRAB,13.04,0.5536,1806.36,59.71,0.5482539,-0.152,4348.9,2542.54,140.75
V* V1168 Cen,199.32349151106,-33.78905260238,RRAB,13.04,0.402,2487.56,117.57,0.5163083,-0.103,4252.34,1764.78,70.94
V* V353 UMa,199.84325049373,58.78442416128001,RRAB,13.04,0.2158,4633.92,317.8,0.74198,-0.398,4869.97,236.05,5.09
V* EZ Cnc,133.24027874684,23.79838947671,RRAB,13.04,0.5303,1885.73,79.3,0.545782,-0.148,4341.55,2455.82,130.23
NSV 14073,333.3715616957,-40.72553931487,RRAB,13.05,0.267,3745.32,267.92,0.69612,-0.346,4777.09,1031.77,27.55
CRTS J101539.1-075628,153.91334000169,-7.941243915849999,RRC,13.05,0.2485,4024.14,511.72,0.414789,0.075,3936.11,-88.03,-2.19
V* V381 Tel,299.04998016473,-50.72954762505,RRD,13.05,0.3724,2685.28,128.35,0.3477846,0.218,3685.11,999.83,37.23
V* CS Peg,326.71928785363,24.720793066250007,RRAB,13.05,0.3398,2942.91,189.67,0.5645373,-0.176,4417.06,1474.15,50.09
CRTS J053557.5-420840,83.99036755235,-42.14499758343,RRC,13.05,0.244,4098.36,204.92,0.3713275,0.165,3776.5,-321.86,-7.85
BPS CS 22179-0006,8.80625962291,-4.25023160492,RRC/BL,13.05,0.3969,2519.53,157.43,0.3445751,0.225,3672.35,1152.82,45.76
CRTS J172135.7+374319,260.39897149337,37.72204174585,RRC/BL,13.05,0.2947,3393.28,177.32,0.414906,0.074,3936.53,543.25,16.01
V* V486 Her,261.65986454016,26.93825716292,RRAB,13.05,0.2955,3384.09,123.68,0.8059355,-0.465,5046.11,1662.02,49.11
V* DY Ser,243.57963388661,-2.7193392485400003,RRC,13.05,0.3412,2930.83,155.47,0.278399,0.398,3390.83,460.0,15.7
ASAS J102842-5233.8,157.17315267179,-52.56360315995,RRAB,13.053,0.6398,1562.99,34.2,0.475372,-0.036,4147.73,2584.74,165.37
UCAC4 109-124798,344.96949607883,-68.33601019147527,RRAB,13.054,0.2712,3687.32,236.58,0.7104128,-0.362,4822.42,1135.1,30.78
V* V1114 Cen,182.09045615514,-43.06692205975,RRC,13.06,0.3333,3000.3,123.32,0.278507,0.398,3406.97,406.67,13.55
ASAS J153125+1813.9,232.85393491974,18.23237461681,kA2hA9mA5,13.06,0.4155,2406.74,100.79,0.313079,2.009,1622.79,-783.95,-32.57
V* XZ Mic,314.72830737727,-38.94146417103,RRAB/BL,13.06,0.4987,2005.21,140.33,0.4491584,0.01,4073.78,2068.57,103.16
V* LZ Boo,220.67399727601,50.10658201827,RRAB,13.06,0.315,3174.6,175.36,0.611755,-0.241,4572.78,1398.18,44.04
V* V1013 Her,246.20691829735,8.07059882881,RRAB,13.06,0.284,3521.13,205.81,0.6447252,-0.284,4663.44,1142.31,32.44
ASAS J135445-1637.6,208.68855595361,-16.626827775620004,RRAB,13.06,0.3552,2815.32,175.16,0.5023502,-0.081,4247.92,1432.6,50.89
V* AD PsA,330.84828530711,-29.48116548175,RRAB,13.06,0.3553,2814.52,173.48,0.7568258,-0.414,4951.59,2137.07,75.93
CRTS J193610.7-335215,294.0445784845999,-33.87108816382,RRC,13.06,0.3653,2737.48,116.9,0.32044,0.284,3590.45,852.97,31.16
ATO J281.7744-17.1391,281.7744030157676,-17.139046642983054,RRC,13.066,0.5114,1955.42,63.09,0.3163,0.295,3582.92,1627.5,83.23
UCAC4 124-160119,256.79186493313,-65.23714508563,RRC,13.066,0.4596,2175.81,82.37,0.242451,0.511,3243.76,1067.95,49.08
V* V446 Ser,232.47603643226,12.686110878230002,RRC:,13.07,0.2662,3756.57,244.13,0.335165,0.248,3668.15,-88.42,-2.35
CRTS J210849.4-075333,317.20636596947,-7.892641116250002,RRC,13.07,0.3385,2954.21,157.97,0.32239,0.279,3615.22,661.01,22.38
V* WY Pav,269.05150969031,-57.1620620487,RRAB,13.07,0.5863,1705.61,43.64,0.5885721,-0.21,4527.99,2822.38,165.48
ATO J293.9976-24.3092,293.9975680661784,-24.309223353219448,RRAB,13.077,0.3709,2696.14,165.01,0.6285474,-0.263,4655.63,1959.49,72.68
Cl* NGC 6121    SAW V43,246.28103567119,-26.42889617369,RRC,13.08,0.511,1956.95,73.91,0.320624,0.284,3624.45,1667.5,85.21
V* V651 Aur,109.19879285406,43.30485744442,RRAB,13.08,0.366,2732.24,146.32,0.617715,-0.249,4631.85,1899.61,69.53
